Especie;FechaAnillamiento;Cod_Localidad;Localidad;Municipio;Provincia;LatitudGrados;LatitudMinutos;CuadranteLatitud;LongitudGrados;LongitudMinutos;CuadranteLongitud;CentroR;AnillaR;InfoAnillaR;AmpliacionAnillaR;Verificacion;EspecieR;SexoR;EdadR;FechaRecuperacion;Cod_LocalidadR;LocalidadR;MunicipioR;ProvinciaR;LatitudGradosR;LatitudMinutosR;CuadranteLatitudR;LongitudGradosR;LongitudMinutosR;CuadranteLongitudR;
1340;27/6/06;DEQS245;GROBHARRIE;GROBHARRIE;SCHLESWIG-HOLSTEIN;54;7;N;10;3;E;DEW;3X...094;4;        ;0;1340;U;4;24/12/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;1/7/11;HEZH143;L†TZELSEE;L†TZELSEE;ZURICH;47;15;N;8;46;E;HES;SG...355;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;5/6/12;HEAG153;ALTHAUSERN;ALTHAUSERN;AARGAU;47;18;N;8;21;E;HES;SG...862;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;9/6/11;DECR244;DIETRICHINGEN;KIRSCHBACHERHOF;RHEINHESSEN-PFALZ;49;12;N;7;25;E;DER;AH...635;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;24/5/02;DEBF41;HOLZEN;HOLZEN;SUDBADEN (FREIBURG);47;41;N;7;38;E;DER;A...1113;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;1/7/03;DEBK60;MANNHEIM;MANNHEIM;NORDBADEN (KARLSRUHE);49;30;N;8;29;E;DER;A...3052;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;8/6/11;HEBL109;BINNINGEN;BINNINGEN;BASELSTADT;47;32;N;7;34;E;HES;SG...288;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;24/6/10;DEBF238;VOLKERTSHAUSEN;VOLKERTSHAUSEN;SUDBADEN (FREIBURG);47;49;N;8;51;E;DER;AF...200;4;        ;0;1340;U;4;31/12/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
1340;13/6/09;ES52548;LAGUNA DE LA VEGUILLA;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;ESI;.9046277;4;        ;0;1340;U;4;7/5/13;ES52608;ARROYO DEL FRESNO;BRAZATORTAS;CIUDAD REAL;38;36;N;4;18;W;
1340;15/6/11;HEBS4;BASILEA;BASILEA;BASELSTADT;47;33;N;7;36;E;HES;SG...576;4;        ;0;1340;U;4;6/3/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;12/6/00;DEBK213;LANGENBR†CKEN;LANGENBR†CKEN;NORDBADEN (KARLSRUHE);49;12;N;8;39;E;DER;A....186;4;        ;0;1340;U;4;25/10/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;15/6/00;HEBS4;BASILEA;BASILEA;BASSELLAND;47;33;N;7;36;E;HES;....6374;4;        ;0;1340;U;4;25/10/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;4/7/12;HEBL109;BINNINGEN;BINNINGEN;BASELSTADT;47;32;N;7;34;E;HES;SH...032;4;        ;0;1340;U;2;30/10/13;ES52537;V.R.S.U. DE ALMAGRO;ALMAGRO;CIUDAD REAL;38;54;N;3;34;W;
